trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
220,False,"{'a': 0.11080315836233387, 'e': 0.11080315836233387}",20,0,5.52004034121153,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
221,False,"{'a': 0.10970064851551141, 'e': 0.10970064851551141}",30,19,-20.261387424084052,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
222,False,"{'a': 0.10860910882495796, 'e': 0.10860910882495796}",35,20,-34.603645938874955,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
223,False,"{'a': 0.10752843013579495, 'e': 0.10752843013579495}",20,9,20.409586047627677,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.1064585043792528, 'e': 0.1064585043792528}",30,16,26.746778152581662,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.10539922456186433, 'e': 0.10539922456186433}",25,15,7.163862313165623,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
226,False,"{'a': 0.104350484754765, 'e': 0.104350484754765}",20,0,32.90496377048172,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
227,False,"{'a': 0.1033121800831002, 'e': 0.1033121800831002}",20,15,12.258757671081323,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.10228420671553744, 'e': 0.10228420671553744}",30,18,23.966428238057418,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.1012664618538834, 'e': 0.1012664618538834}",25,19,11.3610396930167,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.1002588437228037, 'e': 0.1002588437228037}",30,22,14.605244408060077,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.1, 'e': 0.09926125155964566}",20,14,-0.8540191447819745,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
232,False,"{'a': 0.1, 'e': 0.09827358560436154}",25,6,13.85336112317797,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
233,False,"{'a': 0.1, 'e': 0.09729574708953276}",20,15,8.828588747218122,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.1, 'e': 0.09632763823049303}",20,12,3.518721681353477,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
235,False,"{'a': 0.1, 'e': 0.09536916221554961}",25,6,33.38277104271256,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.1, 'e': 0.09442022319630235}",20,12,17.105530468521465,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.1, 'e': 0.09348072627805847}",25,1,35.75218509098334,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.1, 'e': 0.09255057751034329}",20,10,21.537388299012697,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.1, 'e': 0.09162968387750484}",30,18,21.961529017073996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.1, 'e': 0.09071795328941251}",25,18,11.561155978346616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.1, 'e': 0.08981529457224763}",35,22,13.103307505383848,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
242,False,"{'a': 0.1, 'e': 0.08892161745938634}",30,17,23.203744091317766,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.1, 'e': 0.08803683258237255}",20,12,12.194671973298025,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.1, 'e': 0.0871608514619813}",30,8,26.658654982506537,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.1, 'e': 0.0862935864993705}",30,17,-19.77193668224828,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
246,False,"{'a': 0.1, 'e': 0.08543495096732123}",20,3,18.932341981663626,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
247,False,"{'a': 0.1, 'e': 0.08458485900156469}",20,16,6.969327726462044,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.1, 'e': 0.08374322559219596}",20,12,16.041072605531976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.1, 'e': 0.08290996657517266}",20,8,-1.2603621821851037,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
250,False,"{'a': 0.1, 'e': 0.0820849986238988}",25,10,24.88587629929257,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
251,False,"{'a': 0.1, 'e': 0.08126823924089167}",20,15,6.923565592329327,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.1, 'e': 0.08045960674953244}",25,12,23.96121311197998,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.1, 'e': 0.07965902028589801}",20,14,10.838644995191382,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.1, 'e': 0.07886639979067495}",25,15,21.099826428400945,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.1, 'e': 0.07808166600115313}",25,15,7.9583375437006705,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.1, 'e': 0.07730474044329974}",25,10,29.755102431383065,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.1, 'e': 0.07653554542391151}",20,10,16.278332216102953,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.1, 'e': 0.07577400402284548}",20,13,13.793160444147247,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.1, 'e': 0.07502004008532698}",25,15,13.593361959527906,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.1, 'e': 0.07427357821433388}",20,7,12.050838836830888,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.1, 'e': 0.0735345437630571}",20,5,24.580179540455948,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.1, 'e': 0.07280286282743559}",20,5,4.242757134147624,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
263,False,"{'a': 0.1, 'e': 0.0720784622387661}",35,2,49.76140619807868,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.1, 'e': 0.07136126955638605}",25,11,20.895734156483986,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
265,False,"{'a': 0.1, 'e': 0.0706512130604296}",30,13,35.41746689037377,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
266,False,"{'a': 0.1, 'e': 0.06994822174465536}",30,18,-19.515540194015568,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
267,False,"{'a': 0.1, 'e': 0.069252225309346}",20,13,15.878162440095316,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
